Data_Hora,idTweet,Tweet,Candidato,Tweet_limpo
2022-07-30 23:21:28+00:00,1553521185756954624,"@maravapi @biaipacheco @jairbolsonaro @jairbolsonaro REELEITO 2️⃣2️⃣
#DireitaForte
#BolsonaroReeleito2022 
⚔️🙏🇧🇷🙏⚔️2️⃣2️⃣ https://t.co/5iu9yZ47Qf",Bolsonaro,    reeleito 2️⃣2️⃣ ⚔️🙏🇧🇷🙏⚔️2️⃣2️⃣ .co/5iu9yz47qf
2022-07-30 23:21:25+00:00,1553521172893077504,"@kimpaim @SF_Moro Quem vai fazer o Bolsonaro perder são  vcs mesmo .Falem mais do Moro, que não  voto mais no Bolsonaro.",Bolsonaro,"  quem vai fazer o bolsonaro perder são  vcs mesmo .falem mais do moro, que não  voto mais no bolsonaro."
2022-07-30 23:21:25+00:00,1553521172519821313,"@LulaOficial Gozado.

Que eu saiba Bolsonaro já tem.

O que vc quer mais?

Fazer igual a Venezuela?

Çei.....",Bolsonaro, gozado.que eu saiba bolsonaro já tem.o que vc quer mais?fazer igual a venezuela?çei.....
2022-07-30 23:21:25+00:00,1553521172318404613,"@VictorSouza1_ @tyagoboni @rcardoso1956 @folha Bolsonaro passou 20 anos falando sozinho. Finalmente o povo o ouviu. E quem o ouve, se encanta. Simples assim. Quem o conhece, sabe que seu governo efetivamente fez tudo listado aqui pelo filho. O povo gostou de ver alguém colocando o Brasil acima de tudo com Deus acima de todos. https://t.co/htxgUAJfez",Bolsonaro,"    bolsonaro passou 20 anos falando sozinho. finalmente o povo o ouviu. e quem o ouve, se encanta. simples assim. quem o conhece, sabe que seu governo efetivamente fez tudo listado aqui pelo filho. o povo gostou de ver alguém colocando o brasil acima de tudo com deus acima de todos. .co/htxguajfez"
2022-07-30 23:22:04+00:00,1553521335787261953,"@de_mansu Pois é, pessoal viaja, pensa que todo mundo orbita o Ciro e depende dele pra tudo.",Ciro," pois é, pessoal viaja, pensa que todo mundo orbita o ciro e depende dele pra tudo."
2022-07-30 23:22:03+00:00,1553521335153954817,"@keynes_de @sergioba1234 @BexigaGuilherme @Lima_T @cirogomes Brizola era um político e entendia como a política funciona. Tanto que ele botava os interesses do país acima dos dele.
Ciro só fica nessas desilusões e só serve pra ajudar a campanha do Bolsonaro.
Ciro se afundando na campanha e a sua posição como político. Simples assim.",Ciro,     brizola era um político e entendia como a política funciona. tanto que ele botava os interesses do país acima dos dele.ciro só fica nessas desilusões e só serve pra ajudar a campanha do bolsonaro.ciro se afundando na campanha e a sua posição como político. simples assim.
2022-07-30 23:21:55+00:00,1553521298856370176,"@renancalheiros @lulando13 @LuciaAzev16 @LulaOficial Onde esconder dinheiro.
Como comprar deputado.
Espera...
Ciro já sabe disso.",Ciro,    onde esconder dinheiro.como comprar deputado.espera...ciro já sabe disso.
2022-07-30 23:21:53+00:00,1553521292900548608,"Ciro Nogueira é vaiado em convenção do PDT no Piauí: “Fora bolsonarista, fora Bolsonaro!"" (vídeo) https://t.co/9HMnyRgica",Ciro,"ciro nogueira é vaiado em convenção do pdt no piauí: “fora bolsonarista, fora bolsonaro!"" (vídeo) .co/9hmnyrgica"
2022-07-30 23:21:49+00:00,1553521273367662595,"https://t.co/KoMUKwEcM2

Marcos Rogério (PL-RO),Jorginho Mello(PL/SC),Luis Eduardo Girão (PODEMOS/CE),Ciro Nogueira (PP/PI https://t.co/to8ywmBNvN",Ciro,".co/komukwecm2marcos rogério (pl-ro),jorginho mello(pl/sc),luis eduardo girão (podemos/ce),ciro nogueira (pp/pi .co/to8ywmbnvn"
2022-07-30 23:21:30+00:00,1553521193730310145,Liked on YouTube: VEJA O QUE A TURMA DA GLOBONEWS ACHOU DA PARTICIPAÇÃO DE CIRO NO CENTRAL DAS ELEIÇÕES https://t.co/QqbWS7e3aU,Ciro,liked on youtube: veja o que a turma da globonews achou da participação de ciro no central das eleições .co/qqbws7e3au
